Driver,DriverNumber,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife,FreshTyre,PitInTime,PitOutTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackStatus,Deleted,DeletedReason,IsAccurate,FastF1Generated,IsPersonalBest,Time,LapStartTime,LapStartDate,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime
COL,43,Alpine,24.0,0 days 00:01:25.449000,15.0,2.0,HARD,24.0,False,,,0 days 00:00:30.097000,0 days 00:00:18.128000,0 days 00:00:37.224000,257.0,299.0,295.0,290.0,1,False,,True,False,False,0 days 01:39:20.836000,0 days 01:37:55.387000,2026-03-08 04:39:02.010,0 days 01:38:25.583000,0 days 01:38:43.711000,0 days 01:39:20.935000
COL,43,Alpine,25.0,0 days 00:01:25.225000,15.0,2.0,HARD,25.0,False,,,0 days 00:00:29.946000,0 days 00:00:18.102000,0 days 00:00:37.177000,258.0,300.0,293.0,296.0,1,False,,True,False,False,0 days 01:40:46.061000,0 days 01:39:20.836000,2026-03-08 04:40:27.459,0 days 01:39:50.881000,0 days 01:40:08.983000,0 days 01:40:46.160000
COL,43,Alpine,26.0,0 days 00:01:25.174000,15.0,2.0,HARD,26.0,False,,,0 days 00:00:29.930000,0 days 00:00:18.081000,0 days 00:00:37.163000,262.0,300.0,292.0,295.0,1,False,,True,False,False,0 days 01:42:11.235000,0 days 01:40:46.061000,2026-03-08 04:41:52.684,0 days 01:41:16.090000,0 days 01:41:34.171000,0 days 01:42:11.334000
COL,43,Alpine,27.0,0 days 00:01:25.626000,15.0,2.0,HARD,27.0,False,,,0 days 00:00:30.037000,0 days 00:00:18.139000,0 days 00:00:37.450000,259.0,300.0,295.0,294.0,1,False,,True,False,False,0 days 01:43:36.861000,0 days 01:42:11.235000,2026-03-08 04:43:17.858,0 days 01:42:41.371000,0 days 01:42:59.510000,0 days 01:43:36.960000
COL,43,Alpine,28.0,0 days 00:01:26.172000,15.0,2.0,HARD,28.0,False,,,0 days 00:00:30.003000,0 days 00:00:18.067000,0 days 00:00:38.102000,259.0,301.0,235.0,295.0,1,False,,True,False,False,0 days 01:45:03.033000,0 days 01:43:36.861000,2026-03-08 04:44:43.484,0 days 01:44:06.963000,0 days 01:44:25.030000,0 days 01:45:03.132000
COL,43,Alpine,29.0,0 days 00:01:26.483000,15.0,2.0,HARD,29.0,False,,,0 days 00:00:30.995000,0 days 00:00:18.014000,0 days 00:00:37.474000,260.0,308.0,288.0,260.0,1,False,,True,False,False,0 days 01:46:29.516000,0 days 01:45:03.033000,2026-03-08 04:46:09.656,0 days 01:45:34.127000,0 days 01:45:52.141000,0 days 01:46:29.615000
COL,43,Alpine,30.0,0 days 00:01:25.566000,15.0,2.0,HARD,30.0,False,,,0 days 00:00:30.111000,0 days 00:00:18.034000,0 days 00:00:37.421000,260.0,303.0,287.0,291.0,1,False,,True,False,False,0 days 01:47:55.082000,0 days 01:46:29.516000,2026-03-08 04:47:36.139,0 days 01:46:59.726000,0 days 01:47:17.760000,0 days 01:47:55.181000
COL,43,Alpine,31.0,0 days 00:01:27.260000,15.0,2.0,HARD,31.0,False,,,0 days 00:00:31.496000,0 days 00:00:17.976000,0 days 00:00:37.788000,262.0,309.0,296.0,287.0,1,False,,True,False,False,0 days 01:49:22.342000,0 days 01:47:55.082000,2026-03-08 04:49:01.705,0 days 01:48:26.677000,0 days 01:48:44.653000,0 days 01:49:22.441000
COL,43,Alpine,32.0,0 days 00:01:25.707000,15.0,2.0,HARD,32.0,False,,,0 days 00:00:30.159000,0 days 00:00:18.001000,0 days 00:00:37.547000,259.0,304.0,298.0,298.0,1,False,,True,False,False,0 days 01:50:48.049000,0 days 01:49:22.342000,2026-03-08 04:50:28.965,0 days 01:49:52.600000,0 days 01:50:10.601000,0 days 01:50:48.148000
COL,43,Alpine,33.0,0 days 00:01:40.541000,15.0,2.0,HARD,33.0,False,,,0 days 00:00:32.599000,0 days 00:00:27.744000,0 days 00:00:40.198000,125.0,216.0,281.0,290.0,167,False,,False,False,False,0 days 01:52:28.590000,0 days 01:50:48.049000,2026-03-08 04:51:54.672,0 days 01:51:20.747000,0 days 01:51:48.491000,0 days 01:52:28.689000
