Driver,LapNumber,D_lap,H_lap,n_valid_samples,freeze_flag,yellow_flag,thin_lap,IsAccurate,TrackStatus,max_dt_used,mean_throttle,n_dt_gaps,calibration_set,error
BOR,38,4073.373861111111,10551.656790123458,324,False,False,False,True,1,0.92,70.89506172839506,0,True,
BOR,39,4065.223677777778,9003.03888888889,315,False,False,False,True,1,0.92,73.91111111111111,1,True,
BOR,40,4287.985772222222,7590.252469135803,331,False,False,False,True,1,0.88,75.83383685800604,0,True,
BOR,41,4220.643144444444,7654.79938271605,324,False,False,False,True,1,0.68,75.01234567901234,1,True,
BOR,42,4263.847125,6769.370370370369,316,False,False,False,True,1,1.0,74.1613924050633,0,True,
BOR,43,4161.005511111111,6796.604938271606,313,False,False,False,True,1,0.88,74.9520766773163,1,True,
BOR,44,4227.014397222222,7487.385802469134,307,False,False,False,True,1,0.48,74.96091205211727,0,True,
BOR,45,4194.816919444445,7874.8098765432105,311,False,False,False,True,1,0.92,75.55948553054662,1,True,
BOR,46,4114.559469444444,7172.208641975306,305,False,False,False,True,1,0.999,74.4032786885246,1,True,
BOR,47,4144.7992861111115,7892.092592592593,311,False,False,False,True,1,0.52,75.02893890675242,1,True,
BOR,48,4214.853766666667,8090.883333333335,320,False,False,False,True,1,1.0,73.671875,0,True,
BOR,49,3940.702652777778,8289.852469135803,306,False,False,False,True,1,0.48,72.09477124183006,3,True,
BOR,50,4165.720244444445,8390.388271604937,306,False,False,False,True,1,0.8,74.7483660130719,0,True,
BOR,51,3905.1522916666668,8510.925925925927,315,False,False,False,True,1,0.96,70.68571428571428,2,True,
BOR,52,4168.196130555556,8177.116049382716,302,False,False,False,True,1,0.961,72.73509933774834,0,True,
BOR,53,3772.0441555555553,8517.586419753086,317,False,False,False,True,1,0.8,69.14826498422713,2,True,
BOR,54,4080.486236111111,9397.567901234566,316,False,False,False,True,1,0.959,72.54113924050633,0,True,
BOR,55,3970.4755555555553,10001.987037037037,320,False,False,False,True,1,0.96,71.671875,1,True,
BOR,56,4116.485925,7548.4339506172855,325,False,False,False,True,1,0.64,72.62769230769231,0,True,
BOR,57,3807.0082027777776,9574.295679012344,304,False,False,False,True,1,0.88,69.71052631578948,3,True,
SAI,1,3552.748222222222,10512.427160493828,367,False,False,False,False,1,0.84,58.20708446866485,1,False,
SAI,2,3572.3217,9346.252469135803,331,False,False,False,True,1,0.881,63.918429003021146,1,True,
SAI,3,3708.284630555556,11202.666666666668,334,False,False,False,True,1,0.8,65.2874251497006,1,True,
