Driver,LapNumber,DriverNumber,IsAccurate,TrackStatus,PitInTime,PitOutTime,freeze_flag,yellow_flag,race_state_factor,race_state_label,thin_lap,n_raw_samples,n_in_window,n_valid_samples,error,D_lap,H_lap,max_dt_used,n_dt_gaps,mean_throttle,calibration_set,LapStartDistance,LookaheadDeployProxy,LookaheadHarvestProxy,LookaheadCoveredM,EstimatedEnergyIndex_end,EstimatedEnergyIndex_min,EstimatedEnergyIndex_max,n_clip_low,n_clip_high,EstimatedEnergyIndex
GAS,4,10,True,1,,,False,False,1.0,normal,False,330,329,290,,3247.069383333333,5916.253086419752,0.879,0,66.85862068965517,True,1.7516666666666687,17194.727055755237,99587.73929632116,400.0,0.9159376067114204,0.8706637391249896,0.9473814916238038,0,0,0.9159376067114204
GAS,6,10,True,1,,,False,False,1.0,normal,False,328,327,314,,3518.0626722222223,8455.664197530865,0.92,0,65.82165605095541,True,7.201388888888889,16927.670631188954,99574.18398263608,400.0,0.9480795055379728,0.8908238159377782,0.98466568447949,0,0,0.9480795055379728
GAS,7,10,True,1,,,False,False,1.0,normal,False,309,308,300,,3624.658655555556,9131.493209876548,0.999,0,66.35,True,5.053333333333335,17027.9499204164,99579.62467725614,400.0,0.9569722753948926,0.9236651734231155,1.0,0,2,0.9569722753948926
GAS,8,10,True,1,,,False,False,1.0,normal,False,305,304,277,,3013.726930555556,9093.104938271606,0.88,3,64.12996389891697,True,18.073888888888888,16556.955108428232,99543.96118853912,400.0,0.971946490076178,0.9162630432985713,1.0,0,3,0.971946490076178
GAS,9,10,True,1,,,False,False,1.0,normal,False,327,326,311,,3468.1794111111108,9616.735185185187,0.96,1,63.942122186495176,True,4.846111111111107,17038.417339477714,99580.13397439753,400.0,0.9664799637736012,0.9274059167353119,1.0,0,3,0.9664799637736012
GAS,10,10,True,1,,,False,False,1.0,normal,False,318,317,297,,3533.001338888889,6884.08950617284,0.92,1,66.75084175084174,True,17.868611111111115,16563.954387223366,99544.53180872864,400.0,0.9333595394059881,0.8747762607120977,1.0,0,1,0.9333595394059881
GAS,11,10,False,16,0 days 01:18:21.012000,,True,False,0.0,freeze,False,389,388,358,,0.0,0.0,0.52,2,54.87150837988827,False,12.31666666666667,16753.256938344148,99559.96480700704,400.0,0.9333595394059881,0.9333595394059881,0.9333595394059881,0,0,0.9333595394059881
GAS,12,10,False,6,,0 days 01:18:39.918000,True,False,0.0,freeze,False,438,437,437,,0.0,0.0,1.0,0,42.8558352402746,False,2.6866666666666683,17147.497387443735,99585.44131484942,400.0,0.9333595394059881,0.9333595394059881,0.9333595394059881,0,0,0.9333595394059881
GAS,13,10,False,671,,,True,False,0.0,freeze,False,428,427,420,,0.0,0.0,0.88,1,48.364285714285714,False,6.19666666666667,16970.19670747221,99576.81466782726,400.0,0.9333595394059881,0.9333595394059881,0.9333595394059881,0,0,0.9333595394059881
GAS,14,10,True,1,,,False,False,1.0,normal,False,315,314,310,,3706.783552777778,7397.698765432099,0.76,1,68.9483870967742,True,7.508333333333336,16917.204862489874,99573.33075488317,400.0,0.9184830459019709,0.8606817478583073,0.9580848429688555,0,0,0.9184830459019709
