Driver,DriverNumber,LapNumber,Position,PositionChange,LapTimeSeconds,LapTimeDelta,EstimatedEnergyIndex,LookaheadDeployProxy,LookaheadHarvestProxy,LookaheadCoveredM,DriverAhead_end,DistanceToDriverAhead_end,DistanceToDriverAhead_median,n_samples_with_car_ahead,n_car_samples_ahead_extract
BEA,87,52,7.0,0.0,84.264,0.0309999999999917,0.6541331941787132,16833.005148702723,99566.46632526915,400.0,3,1324.4269444444544,1333.3127777777827,304,305
BEA,87,53,7.0,0.0,84.615,0.3509999999999991,0.6258962868310032,16675.109374963067,99553.59378240132,400.0,3,1393.7247222222086,1432.9533333333193,303,304
BEA,87,54,7.0,0.0,84.61,-0.0049999999999954,0.6211409725371055,16938.022744481346,99575.02794456723,400.0,3,1504.9805555555497,1528.9916666666631,319,320
BEA,87,55,7.0,0.0,84.5,-0.1099999999999994,0.6139649373705299,16396.189535669735,99530.85468367206,400.0,3,1575.0747222222235,1604.34138888889,311,312
BEA,87,56,7.0,0.0,86.439,1.938999999999993,0.6524385480877999,17216.19508680592,99588.78383335372,400.0,3,1817.304444444445,1771.0338888888923,332,333
BEA,87,57,7.0,0.0,86.649,0.2100000000000079,0.6600924193259878,16437.730586813763,99534.24134152212,400.0,3,1940.3969444444392,158.3758333333334,308,309
BOR,5,1,11.0,,98.755,,0.9616669231171256,17283.209019026875,99592.0444273849,400.0,10,15.281388888889524,4.492222222223063,364,367
BOR,5,2,11.0,0.0,87.538,-11.217,0.9617349822852752,16899.825056550686,99571.91385630704,400.00000000000006,31,49.413333333334776,33.43749999999932,334,335
BOR,5,3,10.0,-1.0,86.324,-1.2139999999999986,0.9639892896591986,16727.731828259068,99557.8838578721,400.00000000000006,31,53.48527777777599,35.22055555555558,326,327
BOR,5,4,10.0,0.0,86.032,-0.2920000000000016,0.9325390490896924,16414.724838243576,99532.36578476932,400.0,31,60.20555555556075,85.34527777777771,327,328
BOR,5,5,10.0,0.0,86.327,0.2950000000000017,0.9500688727290983,17105.950433233884,99583.41982847457,400.0,31,56.18999999999505,56.38194444444344,331,332
BOR,5,7,12.0,2.0,85.785,-0.5420000000000016,0.9560386946901336,16912.829129332433,99572.97402074574,400.0,3,85.16083333334063,54.9905555555556,309,310
BOR,5,8,12.0,0.0,85.47,-0.3149999999999977,0.9603550720206832,16749.65785046573,99559.67138931828,400.0,87,77.98861111111819,62.776944444444325,303,304
BOR,5,9,12.0,0.0,85.224,-0.2459999999999951,0.933156943251345,16263.572618634003,99520.04301399204,400.0,87,44.30166666667628,46.28638888889054,323,324
BOR,5,10,12.0,0.0,85.561,0.3370000000000033,0.9245447755920986,16556.311061123677,99543.90868221586,400.0,87,35.9297222222167,40.271944444443534,310,311
BOR,5,11,8.0,-4.0,91.862,6.300999999999988,0.9245447755920986,17228.668995043867,99589.39075715897,400.0,87,103.199444444449,49.693333333333044,338,339
BOR,5,12,8.0,0.0,114.364,22.50200000000001,0.9245447755920986,17145.36461573151,99585.33754385012,400.0,87,36.26333333333969,39.698611111111404,420,421
BOR,5,13,8.0,0.0,114.445,0.0809999999999888,0.9245447755920986,16580.19763909569,99545.85604908723,400.0,87,94.3122222222264,45.25583333333725,435,436
BOR,5,14,8.0,0.0,85.958,-28.486999999999995,0.9470410289330004,16916.503987481974,99573.273615649,400.0,87,94.647222222221,82.12138888888467,313,314
BOR,5,15,8.0,0.0,84.819,-1.1389999999999958,0.9446369339573696,16760.786609037146,99560.57866769806,400.00000000000006,87,130.23416666667254,89.75555555555877,324,325
